"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"2000","Yes","GSM 900 / 1800 - 2000X","","","No","GSM","Available. Released 2013, November","Mini-SIM","","2013, November","112 x 61.5 x 12.8 mm (4.41 x 2.42 x 0.50 in)","89 g (3.14 oz)","240 x 320 pixels (~167 ppi pixel density)","","TFT, 256K colors","2.4 inches (~25.9% screen-to-body ratio)","","","","","","microSD, up to 16 GB (dedicated slot)","","","","","Yes","Yes","Vibration; Polyphonic","No","microUSB 2.0","","3.0, A2DP, EDR","FM radio, RDS; built-in antenna","No","SMS, MMS","","No","No","Up to 500 h","Removable Li-Ion 1000 mAh battery","","","White, Black","","","","","","200 entries","Yes","No","0.72 W/kg (head)     0.84 W/kg (body)    ","","","","","","","","","alcatel","","","","","112","12.8","61.5","89","3.14","","16","240","320","167","","2.4","25.9"
"2001","GSM 900 / 1900 - 2001X","GSM 850 / 1900 - 2001A","","","Yes","GSM","Available. Released 2013, November","Mini-SIM","","2013, November","112 x 61.5 x 12.8 mm (4.41 x 2.42 x 0.50 in)","89 g (3.14 oz)","240 x 320 pixels (~167 ppi pixel density)","","TFT, 256K colors","2.4 inches (~25.9% screen-to-body ratio)","","","","","","microSD, up to 16 GB (dedicated slot)","No","320p@30fps","2 MP","","Yes","Yes","Vibration; Polyphonic","No","microUSB 2.0","","3.0, A2DP, EDR","FM radio, RDS; built-in antenna","No","SMS, MMS","","No","No","Up to 500 h","Removable Li-Ion 1000 mAh battery","","<a href=""#"">2/10</a>","White, Black","","","","","","200 entries","Yes","No","0.80 W/kg (head)     1.28 W/kg (body)    ","","","","","","","","","alcatel","","","30","320","112","12.8","61.5","89","3.14","","16","240","320","167","2","2.4","25.9"
"Fire 7","No","N/A","No","","No","No cellular connectivity","Available. Released 2014, Q2","No","","2014, February","9.9 mm thickness","285 g (10.05 oz)","540 x 960 pixels (~157 ppi pixel density)","Yes","Capacitive touchscreen","7.0 inches (~164.9% screen-to-body ratio)","","Firefox OS 1.3","Dual-core 1.2 GHz","","","To be confirmed","VGA","Yes","VGA","","Yes","Yes","Vibration; MP3 ringtones","Yes","microUSB 2.0","","TBD","To be confirmed","TBD","Email, IM","Accelerometer","No","HTML","","","","<a href=""#"">2/10</a>","Black","","","","","","","","","","","","","","","","","","alcatel","","","","","","","","285","10.05","","","540","960","157","","7.0","164.9"
"Fire C","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2014, Q2","Yes","","2014, February","112.2 x 62 x 12 mm (4.42 x 2.44 x 0.47 in)","100 g (3.53 oz)","320 x 480 pixels (~165 ppi pixel density)","No","TFT capacitive touchscreen, 256K colors","3.5 inches (~52.4% screen-to-body ratio)","","Firefox OS 1.3","Dual-core 1.2 GHz","","4 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","No","480p@30fps","VGA","Geo-tagging","Yes","Yes","Vibration; MP3 ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","Yes","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), Email, IM","Accelerometer, proximity","No","HTML","Up to 433 h (2G) / Up to 325 h (3G)","Removable Li-Ion 1300 mAh battery","","<a href=""#"">1/10</a>","Mozilla Orange, White/Bluish Black, White","","","","","","","","","","","","","","","","","","alcatel","","","30","480","112.2","12","62","100","3.53","","32","320","480","165","","3.5","52.4"
"Fire E","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2014, Q3","Yes","","2014, February","129 x 63.5 x 8.2 mm (5.08 x 2.5 x 0.32 in)","103 g (3.63 oz)","540 x 960 pixels (~245 ppi pixel density)","Yes, up to 5 fingers","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~68.1% screen-to-body ratio)","","Firefox OS 1.3","Dual-core 1.2 GHz","","4 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","VGA","720p@30fps","5 MP, autofocus, LED flash","Geo-tagging, face/smile detection, HDR","Yes","Yes","Vibration; MP3 ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","3.0, A2DP","FM radio, RDS","Yes, with A-GPS","SMS(threaded view), Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 450 h (2G) / Up to 400 h (3G)","Removable Li-Ion 1700 mAh battery","Up to 7 h (2G) / Up to 4 h (3G)","<a href=""#"">2/10</a>","Slate, Dark Chocolate, Mozilla Orange","","","","","","","","","","","","","","","","","","alcatel","","","30","720","129","8.2","63.5","103","3.63","","32","540","960","245","5","4.5","68.1"
"Fire S","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","HSDPA 850 / 900 / 2100 - 6038Y","Yes","GSM / HSPA / LTE","Cancelled","Micro-SIM","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - 6038X, 6038Y","2014, February","129.5 x 63.5 x 8.5 mm (5.10 x 2.5 x 0.33 in)","126 g (4.44 oz)","540 x 960 pixels (~245 ppi pixel density)","Yes, up to 5 fingers","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~67.9% screen-to-body ratio)","","Firefox 2.0, upgradable to 2.1","Quad-core 1.2 GHz","","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","5 MP, autofocus, LED flash","Geo-tagging, face/smile detection, HDR","Yes","Yes","Vibration; MP3 ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS","SMS(threaded view), Email, IM","Accelerometer, proximity, compass","No","HTML","","","","","Black","","","","","","","","","","","Oleophobic coating","","Yes (6038Y model)","","","","","alcatel","","","30","1080","129.5","8.5","63.5","126","4.44","2","32","540","960","245","5","4.5","67.9"
"Idol 2","HSPA 21.1/5.76 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 900 / 2100","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","GSM / HSPA","Available. Released 2014, Q2","Single SIM or Dual SIM (dual stand-by)","","2014, February","136 x 70 x 7.3 mm (5.35 x 2.76 x 0.29 in)","128 g (4.52 oz)","540 x 960 pixels (~220 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~72.4% screen-to-body ratio)","","Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)","Quad-core 1.3 GHz","","8 GB, 1 GB RAM (Single SIM)/ 16 GB, 1 GB RAM (Dual SIM)","microSD, up to 32 GB (dedicated slot) - single-SIM model","2 MP","Yes","8 MP, autofocus, LED flash","Geo-tagging, touch focus, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 550 h (2G) / Up to 600 h (3G)","Non-removable Li-Ion 2000 mAh battery","","<a href=""#"">4/10</a>","Slate, Chocolate, White, Hot pink","","","","","","","","","","","","","Yes","","","","","alcatel","","","","","136","7.3","70","128","4.52","2","32","540","960","220","8","5.0","72.4"
"Idol 2 Mini","HSPA 42.2/5.76 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 1900 / 2100 - 6016A, 6016E","HSDPA 900 / 2100 - 6016X, 6016D","Yes","GSM / HSPA","Available. Released 2014, Q2","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","","2014, February","129 x 63.5 x 7.9 mm (5.08 x 2.5 x 0.31 in)","110 g (3.88 oz)","540 x 960 pixels (~245 ppi pixel density)","Yes, up to 5 fingers","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~68.1% screen-to-body ratio)","","Android 4.3 (Jelly Bean), upgradable to 4.4 (KitKat)","Quad-core 1.2 GHz","","4 GB, 1 GB RAM (Single SIM)/ 8 GB, 1 GB RAM (Dual SIM)","microSD, up to 32 GB (dedicated slot) - single-SIM model","VGA","720p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 450 h (2G) / Up to 400 h (3G)","Non-removable Li-Ion 1700 mAh battery","","<a href=""#"">4/10</a>","Cloudy, White, Hot Pink, Slate","","","","","","","","","0.43 W/kg (head)     0.58 W/kg (body)    ","","Asahi Dragontrail Glass, oleophobic coating","","","","","","","alcatel","","","30","720","129","7.9","63.5","110","3.88","","32","540","960","245","8","4.5","68.1"
"Idol 2 Mini S","LTE band 1(2100), 2(1900), 4(1700/2100), 7(2600), 17(700) - 6036A","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 2100 - 6036Y","GSM 900 / 1800 - 6036X","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700) - 6036X","GSM / HSPA / LTE","Available. Released 2014, June","Micro-SIM","HSDPA 850 / 900 / 1900 / 2100 - 6036A, 6036X","2014, February","129.5 x 63.5 x 8.5 mm (5.10 x 2.5 x 0.33 in)","116 g (4.09 oz)","540 x 960 pixels (~245 ppi pixel density)","Yes, up to 5 fingers","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~67.9% screen-to-body ratio)","","Android 4.3 (Jelly Bean), upgradable to 4.4 (KitKat)","Quad-core 1.2 GHz","","4 GB, 1 GB RAM (6036A, 6036X)/ 8 GB, 1 GB RAM (6036Y)","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 400 h (2G) / Up to 400 h (3G)","Non-removable Li-Ion 2000 mAh battery","Up to 9 h (2G) / Up to 13 h (3G)","<a href=""#"">4/10</a>","Slate, Chocolate, White, Hot pink, Cloudy","","","","","","","","","","","Oleophobic coating","","Yes (6036Y only)","","","","","alcatel","","","30","1080","129.5","8.5","63.5","116","4.09","2","32","540","960","245","8","4.5","67.9"
"Idol 2 S","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 19(800), 20(800) - 6050F","GSM 850 / 900 / 1800 / 1900","LTE band 1(2100), 2(1900), 4(1700/2100), 7(2600), 17(700) - 6050A","HSDPA 850 / 900 / 2100","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","GSM / HSPA / LTE","Available. Released 2014, June","Micro-SIM","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - 6050Y","2014, February","136.5 x 69.7 x 7.5 mm (5.37 x 2.74 x 0.30 in)","126 g (4.44 oz)","720 x 1280 pixels (~294 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~72.4% screen-to-body ratio)","","Android 4.3 (Jelly Bean), upgradable to 4.4 (KitKat)","Quad-core 1.2 GHz","","8 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","1.3 MP, 720p","1080p","8 MP, autofocus, LED flash","Geo-tagging, touch focus, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 520 h (2G) / Up to 520 h (3G)","Non-removable Li-Ion 2150 mAh battery","","<a href=""#"">6/10</a>","Slate, Chocolate, White","","","","","","","","","","","","","Yes","","","","","alcatel","","","","","136.5","7.5","69.7","126","4.44","1","32","720","1280","294","8","5.0","72.4"
